Reference, Quantity, Value, Footprint, Datasheet, MFG, MPN
C1 C13 C15 C18 ,4,"0.1u","Capacitor_SMD:C_0402_1005Metric","~","Murata","GCM155R71C104KA55J"
C4 C5 C6 C7 C8 C9 C10 C11 C17 ,9,"22n","Capacitor_SMD:C_0402_1005Metric","~","Murata","GCM155R71E223KA55J"
C2 C3 C12 C14 C16 C19 C20 C21 C22 C23 ,10,"10u","Capacitor_SMD:C_0603_1608Metric","~","Murata","GRT188C81A106ME13D"
J1 ,1,"USB_A","Connector_USB:USB_A_Plug_Molex_0480371000_90_deg_mount"," ~","Molex","0480371000"
L1 ,1,"120n","Inductor_SMD:L_0603_1608Metric","~","Murata","LQW18ANR12G00D"
R13 ,1,"1","Resistor_SMD:R_0402_1005Metric","~","Panasonic","ERJ-2BQJ1R0X"
R1 R2 R14 R28 R29 R30 ,6,"0","Resistor_SMD:R_0402_1005Metric","~","Stackpole","RMCF0402ZT0R00"
R15 R16 R18 R19 R20 R21 ,6,"10k","Resistor_SMD:R_0402_1005Metric","~","Panasonic","ERJ-2RKF1002X"
R24 R25 ,2,"220k","Resistor_SMD:R_0402_1005Metric","~","Panasonic","ERJ-2RKF2203X"
R4 R5 R6 R7 R8 R9 R10 R11 R17 R22 R23 R26 R27 ,13,"100","Resistor_SMD:R_0402_1005Metric","~","Panasonic","ERJ-2RKF1000X"
R3 R12 ,2,"4.7k","Resistor_SMD:R_0402_1005Metric","~","Panasonic","ERJ-2RKF4701X"
TP1 ,1,"TestPoint","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","~","~","~"
U1 ,1,"ESP32_DevKit_V1_DOIT","esp32_devkit_v1_doit:esp32_devkit_v1_doit","https://www.amazon.com/gp/product/B08D5ZD528/","Amazon","B08D5ZD528"
U2 ,1,"PCM1772PWR","footprints:PCM1772PWR","","Texas Instruments","PCM1772PWR"
U3 ,1,"SI4721","SI4721:QFN-20-3X3MM","","Silicon Labs","SI4721-B20-GM"
